OG	P	FDR_P	numtax	bp
19023	0.038	0.238895104895	14	624
19485	0.038	0.238895104895	14	1659
19671	0.038	0.238895104895	13	546
19918	0.038	0.238895104895	10	1212
19953	0.038	0.238895104895	11	669
12501	0.039	0.240803571429	19	867
12746	0.039	0.240803571429	19	2259
13255	0.039	0.240803571429	17	642
13628	0.039	0.240803571429	18	1098
13634	0.039	0.240803571429	19	354
13675	0.039	0.240803571429	19	2607
13774	0.039	0.240803571429	19	5043
13822	0.039	0.240803571429	19	2115
13852	0.039	0.240803571429	18	1746
13861	0.039	0.240803571429	19	486
13907	0.039	0.240803571429	19	3354
14478	0.039	0.240803571429	19	5706
15249	0.039	0.240803571429	19	1485
15434	0.039	0.240803571429	18	1383
15656	0.039	0.240803571429	19	2670
15786	0.039	0.240803571429	19	489
16062	0.039	0.240803571429	18	1536
16208	0.039	0.240803571429	19	1941
18348	0.039	0.240803571429	17	657
18423	0.039	0.240803571429	17	666
18545	0.039	0.240803571429	16	1623
18599	0.039	0.240803571429	16	669
18649	0.039	0.240803571429	17	597
18762	0.039	0.240803571429	17	690
19394	0.039	0.240803571429	15	600
19515	0.039	0.240803571429	13	1278
10298	0.04	0.24199192463	15	2601
10727	0.04	0.24199192463	16	3945
11618	0.04	0.24199192463	18	3648
11776	0.04	0.24199192463	18	1182
12580	0.04	0.24199192463	19	1326
13024	0.04	0.24199192463	19	573
13380	0.04	0.24199192463	17	1542
13923	0.04	0.24199192463	19	2715
14323	0.04	0.24199192463	19	1359
14440	0.04	0.24199192463	19	1320
14617	0.04	0.24199192463	19	1332
14793	0.04	0.24199192463	19	2751
15755	0.04	0.24199192463	19	2328
15811	0.04	0.24199192463	19	3936
16031	0.04	0.24199192463	16	1407
16282	0.04	0.24199192463	19	546
16399	0.04	0.24199192463	19	1347
16427	0.04	0.24199192463	19	1335
16668	0.04	0.24199192463	19	1158
16827	0.04	0.24199192463	19	402
17635	0.04	0.24199192463	18	864
17656	0.04	0.24199192463	18	567
17750	0.04	0.24199192463	17	357
18132	0.04	0.24199192463	12	852
18311	0.04	0.24199192463	17	1611
18759	0.04	0.24199192463	17	504
19140	0.04	0.24199192463	16	1284
19524	0.04	0.24199192463	14	1428
19754	0.04	0.24199192463	12	1737
20074	0.04	0.24199192463	10	666
10948	0.041	0.243937789543	16	2406
11398	0.041	0.243937789543	18	1701
11602	0.041	0.243937789543	16	4242
11916	0.041	0.243937789543	18	3219
12007	0.041	0.243937789543	17	1335
12902	0.041	0.243937789543	18	2616
13008	0.041	0.243937789543	19	2010
13506	0.041	0.243937789543	19	1998
13535	0.041	0.243937789543	19	705
13615	0.041	0.243937789543	19	1485
13731	0.041	0.243937789543	18	1905
14110	0.041	0.243937789543	19	3258
14485	0.041	0.243937789543	19	909
14591	0.041	0.243937789543	19	1956
14867	0.041	0.243937789543	19	1155
15313	0.041	0.243937789543	16	1725
15607	0.041	0.243937789543	17	1947
15625	0.041	0.243937789543	19	1779
15995	0.041	0.243937789543	19	432
16604	0.041	0.243937789543	19	1941
17489	0.041	0.243937789543	18	378
17621	0.041	0.243937789543	18	1491
17769	0.041	0.243937789543	18	2778
18128	0.041	0.243937789543	17	2289
18932	0.041	0.243937789543	13	729
10515	0.042	0.244230271669	17	4710
10642	0.042	0.244230271669	18	3372
10791	0.042	0.244230271669	15	1428
10994	0.042	0.244230271669	17	1203
11352	0.042	0.244230271669	15	1836
11968	0.042	0.244230271669	18	2412
11995	0.042	0.244230271669	19	2082
12185	0.042	0.244230271669	18	1668
12288	0.042	0.244230271669	18	2739
12889	0.042	0.244230271669	19	705
12965	0.042	0.244230271669	19	2130
13124	0.042	0.244230271669	19	1485
13151	0.042	0.244230271669	19	1599
13725	0.042	0.244230271669	19	918
14073	0.042	0.244230271669	18	1236
14215	0.042	0.244230271669	19	2601
14490	0.042	0.244230271669	19	828
14532	0.042	0.244230271669	19	1749
14814	0.042	0.244230271669	18	354
15023	0.042	0.244230271669	18	1896
15242	0.042	0.244230271669	18	420
16136	0.042	0.244230271669	19	2745
16553	0.042	0.244230271669	18	1707
16559	0.042	0.244230271669	19	690
16640	0.042	0.244230271669	17	1461
16800	0.042	0.244230271669	19	1260
17183	0.042	0.244230271669	18	990
18581	0.042	0.244230271669	17	1323
18701	0.042	0.244230271669	10	321
18810	0.042	0.244230271669	15	744
18843	0.042	0.244230271669	17	1524
19224	0.042	0.244230271669	15	960
19572	0.042	0.244230271669	14	591
19667	0.042	0.244230271669	13	828
20045	0.042	0.244230271669	10	351
10708	0.043	0.245285532995	14	4740
11082	0.043	0.245285532995	18	2193
11170	0.043	0.245285532995	18	2289
11800	0.043	0.245285532995	18	945
11960	0.043	0.245285532995	18	3258
12328	0.043	0.245285532995	12	2700
13412	0.043	0.245285532995	19	3327
13483	0.043	0.245285532995	19	1824
13643	0.043	0.245285532995	19	1077
14087	0.043	0.245285532995	19	1464
14530	0.043	0.245285532995	19	1806
14809	0.043	0.245285532995	17	1773
15157	0.043	0.245285532995	19	432
15280	0.043	0.245285532995	18	894
15719	0.043	0.245285532995	19	1059
15735	0.043	0.245285532995	19	4038
15762	0.043	0.245285532995	18	390
16254	0.043	0.245285532995	19	3210
16382	0.043	0.245285532995	19	921
16487	0.043	0.245285532995	19	5271
16493	0.043	0.245285532995	19	393
16502	0.043	0.245285532995	19	429
16748	0.043	0.245285532995	18	3006
18065	0.043	0.245285532995	17	1641
18448	0.043	0.245285532995	17	1206
18558	0.043	0.245285532995	17	1578
18818	0.043	0.245285532995	17	1185
18837	0.043	0.245285532995	16	690
19725	0.043	0.245285532995	10	819
19749	0.043	0.245285532995	12	621
11705	0.044	0.247225	16	1542
11984	0.044	0.247225	18	1443
12092	0.044	0.247225	18	1293
12169	0.044	0.247225	18	873
12287	0.044	0.247225	18	1263
12989	0.044	0.247225	19	945
13018	0.044	0.247225	19	1827
13067	0.044	0.247225	19	732
13396	0.044	0.247225	19	2535
13914	0.044	0.247225	19	804
14794	0.044	0.247225	17	3669
14962	0.044	0.247225	19	1761
15260	0.044	0.247225	19	3159
15567	0.044	0.247225	19	666
15671	0.044	0.247225	19	1203
15950	0.044	0.247225	19	1362
16019	0.044	0.247225	19	1236
16598	0.044	0.247225	19	1536
17158	0.044	0.247225	18	4131
17525	0.044	0.247225	18	354
17650	0.044	0.247225	18	1086
17707	0.044	0.247225	18	399
19197	0.044	0.247225	13	375
19784	0.044	0.247225	12	387
10902	0.045	0.247582619339	13	930
10941	0.045	0.247582619339	16	1704
11246	0.045	0.247582619339	14	5394
11253	0.045	0.247582619339	17	1152
11827	0.045	0.247582619339	17	618
11843	0.045	0.247582619339	18	1158
12083	0.045	0.247582619339	19	2715
12150	0.045	0.247582619339	18	2070
12198	0.045	0.247582619339	18	5163
12226	0.045	0.247582619339	19	9753
12307	0.045	0.247582619339	18	3162
12413	0.045	0.247582619339	19	2877
12532	0.045	0.247582619339	19	1668
13285	0.045	0.247582619339	17	3852
13406	0.045	0.247582619339	19	1593
13689	0.045	0.247582619339	19	1365
13835	0.045	0.247582619339	19	3093
14367	0.045	0.247582619339	19	1065
14372	0.045	0.247582619339	19	558
14828	0.045	0.247582619339	19	483
15047	0.045	0.247582619339	19	11265
15176	0.045	0.247582619339	19	1749
15420	0.045	0.247582619339	19	693
15483	0.045	0.247582619339	19	684
16488	0.045	0.247582619339	19	558
16761	0.045	0.247582619339	19	1920
16843	0.045	0.247582619339	19	621
18075	0.045	0.247582619339	18	687
18443	0.045	0.247582619339	13	324
19072	0.045	0.247582619339	16	648
19333	0.045	0.247582619339	15	1503
19459	0.045	0.247582619339	13	1134
19715	0.045	0.247582619339	13	933
19762	0.045	0.247582619339	11	399
10959	0.046	0.248671076368	16	2820
11039	0.046	0.248671076368	17	1023
11502	0.046	0.248671076368	18	2547
11650	0.046	0.248671076368	16	1773
12022	0.046	0.248671076368	19	1800
12088	0.046	0.248671076368	18	1185
12159	0.046	0.248671076368	18	1068
12546	0.046	0.248671076368	19	906
13090	0.046	0.248671076368	19	2232
13125	0.046	0.248671076368	19	3699
13145	0.046	0.248671076368	18	1308
13268	0.046	0.248671076368	19	567
13405	0.046	0.248671076368	19	1956
13476	0.046	0.248671076368	19	972
13912	0.046	0.248671076368	19	1266
14572	0.046	0.248671076368	18	1608
15482	0.046	0.248671076368	18	837
16080	0.046	0.248671076368	18	1098
16128	0.046	0.248671076368	19	555
16449	0.046	0.248671076368	19	843
16548	0.046	0.248671076368	19	981
16674	0.046	0.248671076368	19	1548
17623	0.046	0.248671076368	18	942
17799	0.046	0.248671076368	18	2529
17887	0.046	0.248671076368	18	1500
18750	0.046	0.248671076368	17	1983
19035	0.046	0.248671076368	14	1800
19375	0.046	0.248671076368	15	975
19397	0.046	0.248671076368	15	930
10333	0.047	0.249722222222	16	8211
10465	0.047	0.249722222222	17	2643
11148	0.047	0.249722222222	18	1965
11514	0.047	0.249722222222	17	1035
11542	0.047	0.249722222222	19	6672
11797	0.047	0.249722222222	14	699
12091	0.047	0.249722222222	19	1416
12534	0.047	0.249722222222	19	1896
12924	0.047	0.249722222222	19	1515
13251	0.047	0.249722222222	19	762
13523	0.047	0.249722222222	19	2292
13762	0.047	0.249722222222	19	1047
14279	0.047	0.249722222222	19	3108
14357	0.047	0.249722222222	17	816
14378	0.047	0.249722222222	19	2223
14471	0.047	0.249722222222	19	5427
14719	0.047	0.249722222222	19	2709
14911	0.047	0.249722222222	19	303
15227	0.047	0.249722222222	19	399
15971	0.047	0.249722222222	19	633
16067	0.047	0.249722222222	11	1470
16069	0.047	0.249722222222	19	1398
17273	0.047	0.249722222222	18	1509
17784	0.047	0.249722222222	18	495
18757	0.047	0.249722222222	17	1062
18782	0.047	0.249722222222	16	1287
18979	0.047	0.249722222222	15	348
19246	0.047	0.249722222222	15	1308
19744	0.047	0.249722222222	12	417
10543	0.048	0.250574516496	13	6258
10899	0.049	0.250574516496	18	4032
10965	0.049	0.250574516496	18	858
10968	0.048	0.250574516496	18	2667
11034	0.048	0.250574516496	18	3336
11127	0.049	0.250574516496	16	624
11218	0.048	0.250574516496	19	1413
11223	0.049	0.250574516496	18	3879
11415	0.048	0.250574516496	19	1599
11460	0.049	0.250574516496	19	3291
11585	0.049	0.250574516496	18	2589
11589	0.048	0.250574516496	18	1191
11805	0.048	0.250574516496	17	3861
11920	0.049	0.250574516496	19	3159
12225	0.048	0.250574516496	18	2244
12327	0.049	0.250574516496	18	2709
12403	0.049	0.250574516496	19	960
12452	0.049	0.250574516496	19	3453
12544	0.049	0.250574516496	19	2463
13138	0.048	0.250574516496	19	1383
13180	0.048	0.250574516496	19	1050
13217	0.048	0.250574516496	16	1233
13397	0.049	0.250574516496	19	4017
13482	0.049	0.250574516496	19	2691
13537	0.049	0.250574516496	19	2469
13636	0.048	0.250574516496	19	1470
13838	0.048	0.250574516496	19	1440
13869	0.048	0.250574516496	18	1047
14078	0.049	0.250574516496	19	504
14128	0.049	0.250574516496	19	3432
14146	0.049	0.250574516496	18	1386
14205	0.048	0.250574516496	19	2328
14300	0.049	0.250574516496	19	1635
14731	0.048	0.250574516496	19	5529
14833	0.049	0.250574516496	15	2694
14890	0.049	0.250574516496	19	1233
15166	0.049	0.250574516496	18	747
15169	0.048	0.250574516496	19	1767
15199	0.048	0.250574516496	15	1023
15210	0.048	0.250574516496	17	801
15254	0.049	0.250574516496	19	1311
15305	0.049	0.250574516496	19	477
15494	0.049	0.250574516496	19	1770
15561	0.049	0.250574516496	18	2358
15590	0.049	0.250574516496	19	1818
15622	0.049	0.250574516496	19	879
15763	0.048	0.250574516496	19	1035
16120	0.049	0.250574516496	19	2637
16238	0.048	0.250574516496	19	1608
16372	0.048	0.250574516496	19	1311
16417	0.048	0.250574516496	19	1299
17325	0.049	0.250574516496	18	1722
17411	0.048	0.250574516496	18	6093
17426	0.048	0.250574516496	18	696
17522	0.049	0.250574516496	18	840
17964	0.048	0.250574516496	18	3702
18121	0.048	0.250574516496	16	1533
18331	0.049	0.250574516496	15	414
18438	0.049	0.250574516496	17	585
18776	0.049	0.250574516496	13	1293
18871	0.049	0.250574516496	16	993
18915	0.049	0.250574516496	15	414
19040	0.049	0.250574516496	14	354
19056	0.049	0.250574516496	16	987
19175	0.048	0.250574516496	14	486
19750	0.049	0.250574516496	10	519
10654	0.05	0.251398210291	17	804
11434	0.05	0.251398210291	17	1878
11693	0.05	0.251398210291	16	1200
11908	0.05	0.251398210291	18	3435
12233	0.05	0.251398210291	19	1884
12758	0.05	0.251398210291	19	2544
12799	0.05	0.251398210291	19	681
13026	0.05	0.251398210291	19	1290
13338	0.05	0.251398210291	19	1263
14179	0.05	0.251398210291	19	1206
14304	0.05	0.251398210291	18	2547
14406	0.05	0.251398210291	19	585
14915	0.05	0.251398210291	19	615
15034	0.05	0.251398210291	19	561
15476	0.05	0.251398210291	18	1308
16312	0.05	0.251398210291	18	1086
16687	0.05	0.251398210291	19	2502
16702	0.05	0.251398210291	15	474
16763	0.05	0.251398210291	19	1011
16987	0.05	0.251398210291	18	465
17620	0.05	0.251398210291	18	810
17752	0.05	0.251398210291	18	1125
17796	0.05	0.251398210291	17	1311
18076	0.05	0.251398210291	18	936
18621	0.05	0.251398210291	17	4053
19284	0.05	0.251398210291	15	543
19285	0.05	0.251398210291	11	834
19563	0.05	0.251398210291	14	879
19617	0.05	0.251398210291	12	879
19794	0.05	0.251398210291	12	1008
10843	0.051	0.251641053787	17	9834
11290	0.051	0.251641053787	17	2982
11523	0.051	0.251641053787	17	945
11702	0.051	0.251641053787	18	3768
11842	0.051	0.251641053787	15	837
12111	0.051	0.251641053787	18	1029
12380	0.051	0.251641053787	19	4056
12520	0.051	0.251641053787	19	564
12665	0.051	0.251641053787	13	477
12675	0.051	0.251641053787	19	1560
12868	0.051	0.251641053787	19	1161
13038	0.051	0.251641053787	19	2517
13693	0.051	0.251641053787	19	1236
14199	0.051	0.251641053787	19	627
14330	0.051	0.251641053787	19	2400
15079	0.051	0.251641053787	19	4095
15363	0.051	0.251641053787	18	1155
15412	0.051	0.251641053787	19	603
15525	0.051	0.251641053787	19	3165
15675	0.051	0.251641053787	19	1197
15743	0.051	0.251641053787	19	2085
15883	0.051	0.251641053787	18	744
15999	0.051	0.251641053787	19	939
16498	0.051	0.251641053787	18	954
16723	0.051	0.251641053787	19	876
16727	0.051	0.251641053787	19	1293
16840	0.051	0.251641053787	19	372
17413	0.051	0.251641053787	18	2244
17666	0.051	0.251641053787	18	714
17762	0.051	0.251641053787	15	714
17917	0.051	0.251641053787	18	1752
18041	0.051	0.251641053787	18	1434
18244	0.051	0.251641053787	18	1011
19037	0.051	0.251641053787	13	384
10449	0.055	0.252657128258	17	2733
10599	0.052	0.252657128258	17	2004
10651	0.053	0.252657128258	15	3150
10676	0.054	0.252657128258	17	2031
10803	0.055	0.252657128258	15	1536
11056	0.053	0.252657128258	19	9720
11109	0.055	0.252657128258	17	2631
11169	0.052	0.252657128258	17	1050
11363	0.055	0.252657128258	18	1794
11436	0.052	0.252657128258	17	678
11488	0.052	0.252657128258	17	903
11497	0.052	0.252657128258	17	423
11530	0.053	0.252657128258	17	1650
11598	0.052	0.252657128258	17	318
11665	0.055	0.252657128258	18	5262
11778	0.052	0.252657128258	18	1596
11779	0.053	0.252657128258	14	816
11883	0.053	0.252657128258	18	636
11884	0.052	0.252657128258	18	1551
11923	0.052	0.252657128258	19	903
11994	0.052	0.252657128258	18	1359
12089	0.055	0.252657128258	17	7950
12100	0.052	0.252657128258	19	5055
12124	0.054	0.252657128258	18	2499
12254	0.055	0.252657128258	18	4125
12480	0.054	0.252657128258	19	1224
12612	0.055	0.252657128258	18	1167
12636	0.053	0.252657128258	16	657
12679	0.055	0.252657128258	18	1047
12740	0.052	0.252657128258	18	4983
12806	0.054	0.252657128258	19	741
12870	0.054	0.252657128258	19	2883
12886	0.055	0.252657128258	19	1773
12956	0.055	0.252657128258	18	483
12978	0.055	0.252657128258	19	879
12981	0.055	0.252657128258	19	1368
13001	0.055	0.252657128258	19	2229
13016	0.052	0.252657128258	19	714
13095	0.052	0.252657128258	18	5769
13187	0.052	0.252657128258	17	1533
13248	0.055	0.252657128258	18	1581
13371	0.054	0.252657128258	18	3381
13432	0.054	0.252657128258	19	2976
13433	0.053	0.252657128258	19	1560
13459	0.053	0.252657128258	17	3864
13472	0.055	0.252657128258	17	4089
13576	0.054	0.252657128258	18	1422
13665	0.053	0.252657128258	19	1092
13678	0.053	0.252657128258	19	1935
13899	0.055	0.252657128258	19	2085
13909	0.053	0.252657128258	19	1206
13970	0.055	0.252657128258	19	1917
14003	0.055	0.252657128258	19	2811
14093	0.054	0.252657128258	19	1359
14112	0.055	0.252657128258	19	1131
14187	0.055	0.252657128258	19	1920
14267	0.052	0.252657128258	19	876
14284	0.054	0.252657128258	18	312
14334	0.053	0.252657128258	19	849
14355	0.055	0.252657128258	14	1680
14414	0.053	0.252657128258	19	2412
14421	0.055	0.252657128258	19	1029
14529	0.054	0.252657128258	19	2391
14644	0.054	0.252657128258	18	1353
14692	0.053	0.252657128258	19	1881
14933	0.055	0.252657128258	19	1392
14957	0.053	0.252657128258	18	2781
15000	0.054	0.252657128258	19	771
15021	0.053	0.252657128258	19	969
15068	0.053	0.252657128258	17	2934
15111	0.052	0.252657128258	17	1512
15240	0.053	0.252657128258	19	1983
15262	0.053	0.252657128258	19	1530
15356	0.052	0.252657128258	19	2871
15426	0.053	0.252657128258	19	2070
15463	0.054	0.252657128258	18	1311
15474	0.055	0.252657128258	17	1545
15485	0.054	0.252657128258	17	1893
15553	0.055	0.252657128258	19	1041
15604	0.054	0.252657128258	19	1671
15647	0.054	0.252657128258	19	1779
15664	0.054	0.252657128258	19	1392
15685	0.053	0.252657128258	19	1503
15687	0.055	0.252657128258	19	1947
15793	0.053	0.252657128258	19	1770
15809	0.053	0.252657128258	19	1050
15877	0.054	0.252657128258	19	1917
16071	0.055	0.252657128258	19	1686
16341	0.053	0.252657128258	19	507
16570	0.053	0.252657128258	19	1575
16616	0.054	0.252657128258	19	1200
16648	0.055	0.252657128258	18	651
16705	0.055	0.252657128258	19	1626
16811	0.055	0.252657128258	19	1599
16834	0.054	0.252657128258	19	1461
16867	0.055	0.252657128258	19	8340
16994	0.052	0.252657128258	18	543
17026	0.053	0.252657128258	17	1431
17034	0.053	0.252657128258	18	1488
17056	0.054	0.252657128258	18	2685
17096	0.055	0.252657128258	17	855
17182	0.053	0.252657128258	18	4704
17244	0.052	0.252657128258	18	684
17333	0.055	0.252657128258	18	3756
17388	0.055	0.252657128258	18	768
17404	0.054	0.252657128258	18	1047
17535	0.054	0.252657128258	18	330
17765	0.055	0.252657128258	17	1230
17858	0.054	0.252657128258	17	366
17885	0.053	0.252657128258	18	1719
18025	0.052	0.252657128258	18	1299
18052	0.055	0.252657128258	18	933
18109	0.052	0.252657128258	18	387
18139	0.054	0.252657128258	18	630
18211	0.054	0.252657128258	16	429
18241	0.052	0.252657128258	16	960
18291	0.055	0.252657128258	16	1296
18495	0.054	0.252657128258	17	1509
18514	0.053	0.252657128258	16	591
18572	0.053	0.252657128258	16	786
18586	0.055	0.252657128258	16	1092
18658	0.054	0.252657128258	17	852
18743	0.055	0.252657128258	17	1929
18763	0.054	0.252657128258	16	687
18824	0.054	0.252657128258	16	3270
18949	0.054	0.252657128258	14	387
19059	0.055	0.252657128258	16	1098
19070	0.053	0.252657128258	16	951
19135	0.055	0.252657128258	16	1026
19244	0.054	0.252657128258	15	552
19296	0.055	0.252657128258	14	399
19353	0.052	0.252657128258	14	579
19710	0.054	0.252657128258	13	1389
19783	0.055	0.252657128258	10	321
19898	0.053	0.252657128258	10	381
10272	0.061	0.253884259259	18	1119
10342	0.061	0.253884259259	13	1218
10386	0.059	0.253884259259	16	5364
10412	0.057	0.253884259259	14	1662
10474	0.06	0.253884259259	17	3753
10477	0.056	0.253884259259	18	3498
10531	0.059	0.253884259259	16	846
10548	0.058	0.253884259259	19	1383
10635	0.057	0.253884259259	16	1005
10691	0.06	0.253884259259	16	765
10896	0.061	0.253884259259	13	1410
10995	0.057	0.253884259259	19	4380
11014	0.061	0.253884259259	17	1164
11031	0.057	0.253884259259	17	2592
11064	0.057	0.253884259259	19	3120
11065	0.057	0.253884259259	18	1713
11104	0.056	0.253884259259	13	957
11205	0.057	0.253884259259	16	1023
11274	0.059	0.253884259259	15	1473
11316	0.06	0.253884259259	17	3159
11367	0.056	0.253884259259	18	1419
11381	0.059	0.253884259259	18	2337
11503	0.061	0.253884259259	17	666
11528	0.056	0.253884259259	17	543
11545	0.06	0.253884259259	16	795
11632	0.059	0.253884259259	19	6243
11876	0.059	0.253884259259	18	4524
11900	0.059	0.253884259259	18	3138
11975	0.06	0.253884259259	18	693
12031	0.06	0.253884259259	18	2769
12104	0.056	0.253884259259	18	690
12105	0.057	0.253884259259	18	1074
12132	0.059	0.253884259259	18	2490
12174	0.057	0.253884259259	19	6798
12199	0.056	0.253884259259	18	2631
12284	0.058	0.253884259259	18	2091
12304	0.061	0.253884259259	11	711
12436	0.057	0.253884259259	19	3885
12448	0.057	0.253884259259	19	1128
12450	0.056	0.253884259259	19	1077
12461	0.056	0.253884259259	19	3228
12500	0.06	0.253884259259	18	1014
12539	0.056	0.253884259259	17	816
12818	0.061	0.253884259259	19	612
12841	0.059	0.253884259259	18	864
12864	0.06	0.253884259259	19	1320
12906	0.056	0.253884259259	19	1542
13056	0.056	0.253884259259	19	4470
13073	0.058	0.253884259259	18	954
13099	0.06	0.253884259259	19	3711
13105	0.057	0.253884259259	17	939
13136	0.06	0.253884259259	19	453
13237	0.058	0.253884259259	19	3291
13242	0.057	0.253884259259	18	621
13265	0.061	0.253884259259	19	1002
13282	0.06	0.253884259259	19	2901
13294	0.058	0.253884259259	19	660
13317	0.061	0.253884259259	19	537
13326	0.061	0.253884259259	19	5907
13395	0.057	0.253884259259	18	3513
13416	0.06	0.253884259259	19	2199
13450	0.057	0.253884259259	18	1710
13500	0.057	0.253884259259	19	1488
13522	0.061	0.253884259259	19	960
13556	0.06	0.253884259259	19	717
13578	0.057	0.253884259259	19	2928
13645	0.061	0.253884259259	18	2391
13688	0.058	0.253884259259	19	963
13728	0.061	0.253884259259	19	1746
13749	0.057	0.253884259259	19	1143
13839	0.056	0.253884259259	19	1218
13920	0.058	0.253884259259	19	969
13936	0.059	0.253884259259	19	2949
13953	0.059	0.253884259259	19	1902
13957	0.057	0.253884259259	18	1743
13986	0.059	0.253884259259	19	1596
13994	0.058	0.253884259259	19	1011
14024	0.057	0.253884259259	19	1086
14090	0.056	0.253884259259	18	807
14123	0.061	0.253884259259	19	1032
14136	0.058	0.253884259259	19	2814
14219	0.056	0.253884259259	19	6822
14220	0.059	0.253884259259	19	873
14235	0.058	0.253884259259	19	1890
14246	0.061	0.253884259259	19	1335
14261	0.061	0.253884259259	18	1563
14409	0.058	0.253884259259	19	1131
14431	0.061	0.253884259259	19	2604
14460	0.058	0.253884259259	19	3162
14562	0.06	0.253884259259	19	1044
14566	0.061	0.253884259259	19	681
14578	0.061	0.253884259259	19	3321
14648	0.058	0.253884259259	19	5703
14749	0.058	0.253884259259	19	957
14834	0.06	0.253884259259	19	1455
14881	0.056	0.253884259259	18	1017
14906	0.058	0.253884259259	19	6255
14927	0.056	0.253884259259	12	759
14974	0.056	0.253884259259	19	534
15024	0.056	0.253884259259	19	1125
15029	0.061	0.253884259259	18	2292
15076	0.06	0.253884259259	18	546
15094	0.061	0.253884259259	19	789
15109	0.057	0.253884259259	19	873
15139	0.061	0.253884259259	19	930
15167	0.059	0.253884259259	19	1341
15234	0.058	0.253884259259	19	1524
15298	0.059	0.253884259259	17	435
15359	0.06	0.253884259259	19	648
15369	0.058	0.253884259259	19	981
15400	0.059	0.253884259259	19	597
15411	0.058	0.253884259259	19	1431
15509	0.058	0.253884259259	19	4251
15576	0.059	0.253884259259	19	1218
15698	0.056	0.253884259259	19	4416
15727	0.06	0.253884259259	19	4059
15853	0.061	0.253884259259	19	2607
15884	0.06	0.253884259259	17	1413
15960	0.061	0.253884259259	19	2259
15983	0.06	0.253884259259	19	1569
16106	0.059	0.253884259259	19	1269
16115	0.057	0.253884259259	19	1065
16163	0.061	0.253884259259	18	1053
16190	0.056	0.253884259259	19	2208
16213	0.059	0.253884259259	19	2166
16235	0.06	0.253884259259	19	648
16256	0.057	0.253884259259	19	609
16288	0.057	0.253884259259	18	5160
16326	0.061	0.253884259259	18	2001
16377	0.061	0.253884259259	19	1038
16447	0.057	0.253884259259	19	2298
16492	0.059	0.253884259259	19	600
16531	0.061	0.253884259259	19	1881
16549	0.057	0.253884259259	18	1239
16588	0.058	0.253884259259	19	690
16644	0.06	0.253884259259	19	633
16658	0.061	0.253884259259	19	1377
16672	0.058	0.253884259259	19	1923
16768	0.059	0.253884259259	19	597
16787	0.061	0.253884259259	19	570
16995	0.057	0.253884259259	18	2121
16998	0.056	0.253884259259	16	1227
17035	0.061	0.253884259259	17	417
17125	0.06	0.253884259259	18	1935
17136	0.061	0.253884259259	18	981
17146	0.061	0.253884259259	17	684
17186	0.059	0.253884259259	17	1389
17198	0.059	0.253884259259	17	654
17222	0.057	0.253884259259	18	624
17269	0.061	0.253884259259	18	1668
17390	0.061	0.253884259259	17	303
17432	0.059	0.253884259259	18	1281
17453	0.06	0.253884259259	18	831
17479	0.061	0.253884259259	18	633
17481	0.061	0.253884259259	14	417
17488	0.06	0.253884259259	18	774
17517	0.058	0.253884259259	18	1158
17567	0.06	0.253884259259	18	510
17587	0.061	0.253884259259	17	1605
17613	0.059	0.253884259259	18	1050
17618	0.057	0.253884259259	18	684
17687	0.057	0.253884259259	18	1131
17766	0.059	0.253884259259	18	1293
17768	0.059	0.253884259259	18	3255
17800	0.058	0.253884259259	18	1164
17830	0.058	0.253884259259	18	1116
17936	0.06	0.253884259259	18	1038
18018	0.061	0.253884259259	18	1050
18114	0.057	0.253884259259	18	1089
18127	0.06	0.253884259259	18	1929
18131	0.059	0.253884259259	16	2556
18215	0.06	0.253884259259	18	756
18231	0.061	0.253884259259	18	765
18303	0.056	0.253884259259	16	603
18337	0.061	0.253884259259	17	1728
18396	0.056	0.253884259259	17	1107
18397	0.06	0.253884259259	17	444
18563	0.058	0.253884259259	16	474
18628	0.061	0.253884259259	16	1212
18644	0.058	0.253884259259	17	1155
18697	0.059	0.253884259259	17	1029
18699	0.059	0.253884259259	16	978
18738	0.059	0.253884259259	17	681
18775	0.06	0.253884259259	17	1893
18858	0.06	0.253884259259	16	333
18913	0.057	0.253884259259	16	876
18951	0.057	0.253884259259	16	441
19021	0.06	0.253884259259	16	450
19027	0.058	0.253884259259	16	549
19030	0.059	0.253884259259	16	720
19032	0.059	0.253884259259	15	447
19136	0.06	0.253884259259	16	588
19167	0.058	0.253884259259	16	1212
19258	0.06	0.253884259259	15	1212
19315	0.058	0.253884259259	15	930
19400	0.057	0.253884259259	14	1014
19526	0.059	0.253884259259	13	438
19589	0.06	0.253884259259	13	597
19603	0.057	0.253884259259	11	363
19614	0.056	0.253884259259	10	840
19641	0.058	0.253884259259	13	534
19776	0.06	0.253884259259	10	432
19873	0.059	0.253884259259	11	2187
10451	0.063	0.254319712618	18	9711
10748	0.063	0.254319712618	17	1815
10808	0.063	0.254319712618	17	6498
10868	0.063	0.254319712618	13	1941
10898	0.062	0.254319712618	16	2574
10980	0.062	0.254319712618	17	2550
11081	0.063	0.254319712618	16	1818
11099	0.063	0.254319712618	19	1581
11256	0.063	0.254319712618	17	1377
11428	0.063	0.254319712618	18	5205
11666	0.062	0.254319712618	18	552
12050	0.063	0.254319712618	15	795
12345	0.063	0.254319712618	18	885
12631	0.063	0.254319712618	18	738
12834	0.063	0.254319712618	18	375
12904	0.063	0.254319712618	17	990
13448	0.063	0.254319712618	19	1164
