CNEE	SocFast	SolFast	Equal	MedSoc-Sol	ProxOG	ProxType	Fly	HAv3.1	Age	AAUR_APUR	HLIG_HQUA	LMAR_LFIG	LZEP_LVIE	LPAU_LOEN
ce76740	5	0	0	0.1695	11367	intron	Myc	LOC100576392	Bilateria	(268;1;3)	(263;7;2)	(265;5;2)	(269;1;2)	(268;2;0)
ce171619	5	0	0	0.1688	13666	intron	NA	LOC100577670	Apocrita	(155;5;14)	(165;1;0)	(161;4;0)	(165;2;0)	(163;2;0)
ce130305	5	0	0	0.1685	12436	promoter	Nrx-IV	LOC551807	Bilateria	(133;9;2)	(141;3;0)	(137;4;0)	(142;1;0)	(139;2;1)
ce40891	5	0	0	0.1683	14173	intron	fw	CTL6	Bilateria	(104;4;0)	(112;6;1)	(106;2;0)	(101;1;0)	(106;2;0)
ce79018	5	0	0	0.1678	13619	promoter	Shmt	LOC411796	Bilateria	(318;12;2)	(311;4;13)	(324;6;1)	(328;1;2)	(323;5;0)
ce111456	5	0	0	0.1652	17340	promoter	akirin	akirin	Bilateria	(342;14;0)	(357;7;1)	(361;3;0)	(363;1;0)	(370;1;2)
ce91303	5	0	0	0.1649	11052	intron	slo	LOC413994	Bilateria	(455;2;0)	(183;2;272)	(184;1;272)	(166;0;291)	(185;0;272)
ce104460	5	0	0	0.1648	12007	intron	Dmel\\CG12814	LOC551765	Neoptera	(266;7;16)	(278;10;2)	(280;6;0)	(286;1;0)	(283;3;0)
ce19824	5	0	0	0.1634	14254	intron	scrib	LOC413669	Bilateria	(242;6;7)	(286;1;3)	(279;5;0)	(290;1;2)	(282;2;2)
ce155849	5	0	0	0.1625	15169	intron	m	m	Neoptera	(306;8;10)	(295;11;15)	(309;8;1)	(315;2;0)	(314;3;1)
ce120883	5	0	0	0.1623	17387	promoter	NA	LOC551587	Bilateria	(220;8;10)	(231;3;0)	(231;3;0)	(235;4;0)	(232;2;0)
ce55359	5	0	0	0.1613	11499	intron	NA	LOC551792	Bilateria	(263;4;2)	(231;6;40)	(276;7;0)	(278;1;0)	(278;5;0)
ce100336	5	0	0	0.161	19957	promoter	NA	NA	Aculeata	(364;22;75)	(319;4;13)	(308;6;45)	(329;4;4)	(312;2;44)
ce145072	5	0	0	0.1608	16036	intron	NA	LOC102655934	Aculeata	(359;13;11)	(364;7;0)	(346;4;19)	(366;1;6)	(366;1;3)
ce14041	5	0	0	0.1606	12745	intron	shi	LOC410923	Bilateria	(271;7;2)	(270;2;0)	(272;6;1)	(276;3;0)	(277;1;2)
ce150780	5	0	0	0.1592	10066	intron	NA	Gld2	NA	(197;8;0)	(201;5;0)	(201;2;2)	(201;4;0)	(202;3;1)
ce34933	5	0	0	0.158	12173	intron	NA	LOC413310	Bilateria	(366;8;6)	(380;5;4)	(386;7;6)	(398;2;1)	(384;3;9)
ce45893	5	0	0	0.1574	10225	intron	NA	NA	Bilateria	(103;3;23)	(110;7;0)	(115;2;2)	(115;2;0)	(110;7;0)
ce58877	5	0	0	0.1567	19903	intron	NA	NA	Bilateria	(210;2;2)	(222;2;0)	(214;3;0)	(218;2;0)	(215;2;0)
ce21564	5	0	0	0.1563	10345	intron	Pvf3	NA	Bilateria	(256;4;6)	(255;1;0)	(248;8;0)	(254;2;0)	(255;1;0)
ce150385	5	0	0	0.1553	10245	intron	Fhos	LOC409786	Bilateria	(388;12;62)	(324;3;1)	(324;8;1)	(335;1;0)	(330;2;6)
ce108613	5	0	0	0.1551	19395	intron	NA	LOC724297	Bilateria	(245;8;3)	(238;1;16)	(246;8;1)	(254;1;0)	(254;1;0)
ce32335	5	0	0	0.1546	18157	promoter	Sep15	LOC410663	Bilateria	(187;5;10)	(193;6;0)	(197;1;0)	(196;2;0)	(195;4;1)
ce59692	5	0	0	0.1539	15387	intron	Cirl	LOC552142	Bilateria	(449;13;8)	(444;3;0)	(438;11;0)	(439;10;0)	(438;11;0)
ce84226	5	0	0	0.1538	14569	promoter	Dmel\\CG16812	LOC100577520	Bilateria	(257;1;0)	(254;4;0)	(253;5;1)	(258;1;0)	(257;1;0)
ce6322	5	0	0	0.1538	15834	intron	NA	LOC412941	Bilateria	(320;9;0)	(325;3;0)	(325;4;0)	(333;2;0)	(334;1;0)
ce37696	5	0	0	0.1524	16738	intron	Dmel\\CG6398	LOC551144	Protostomia	(278;5;20)	(266;2;24)	(249;5;70)	(323;9;31)	(278;3;26)
ce54850	5	0	0	0.1521	15527	intron	NA	412316	Bilateria	(118;3;35)	(145;7;3)	(148;2;1)	(144;3;6)	(148;6;0)
ce66656	5	0	0	0.1506	15383	intron	Nha1	NA	Bilateria	(115;3;1)	(117;1;0)	(114;4;0)	(116;2;0)	(116;2;0)
ce16054	5	0	0	0.149	22808	promoter	NA	NA	NA	(131;8;2)	(131;1;0)	(128;3;0)	(130;2;0)	(130;1;0)
ce169406	5	0	0	0.1484	23152	promoter	NA	NA	NA	(117;2;0)	(118;1;0)	(116;3;0)	(117;2;0)	(118;1;0)
ce166590	5	0	0	0.1476	16272	intron	NA	LOC410852	Bilateria	(296;4;2)	(298;3;1)	(298;1;0)	(298;1;0)	(298;1;3)
ce119368	5	0	0	0.1433	13842	intron	Appl	Appl	Bilateria	(242;5;0)	(250;5;0)	(254;1;0)	(253;1;0)	(250;5;0)
ce16902	5	0	0	0.1394	10366	intron	NA	LOC409640	Bilateria	(115;4;2)	(119;1;0)	(116;4;0)	(119;1;2)	(118;2;0)
ce76728	5	0	0	0.139	11367	promoter	Myc	LOC100576392	Bilateria	(116;2;0)	(117;1;0)	(117;1;0)	(116;2;0)	(116;2;0)
ce27712	5	0	0	0.1384	14375	promoter	Rtc1	LOC100576850	Bilateria	(109;2;0)	(111;4;0)	(114;4;0)	(114;4;0)	(116;2;0)
ce154484	5	0	0	0.1381	14355	intron	NA	LOC551490	Bilateria	(541;17;174)	(425;12;45)	(421;6;33)	(435;5;11)	(425;10;40)
ce109972	5	0	0	0.1369	14937	intron	sty	LOC725117	Bilateria	(228;8;19)	(228;2;0)	(232;1;0)	(231;2;0)	(232;1;0)
ce66468	5	0	0	0.1338	15382	intron	trbl	LOC409288	Bilateria	(281;13;4)	(285;2;2)	(283;3;0)	(279;7;1)	(282;4;0)
ce102377	5	0	0	0.1336	10572	intron	Tomosyn	LOC408267	Bilateria	(429;10;21)	(439;7;0)	(441;2;0)	(449;1;0)	(443;2;0)
ce169718	5	0	0	0.1323	19775	intron	NA	NA	Bilateria	(272;7;0)	(275;2;0)	(269;5;1)	(268;7;0)	(273;2;0)
ce170925	5	0	0	0.1318	16256	promoter	Q7K2B1_DROME	LOC550664	Bilateria	(129;5;1)	(132;2;0)	(132;2;2)	(132;2;0)	(132;2;0)
ce162066	5	0	0	0.1297	15127	intron	Sdc	LOC413557	Bilateria	(210;3;6)	(226;1;0)	(226;1;0)	(225;2;0)	(223;3;1)
ce20445	5	0	0	0.1294	14422	intron	dnr1	LOC412897	Bilateria	(139;3;4)	(135;2;2)	(125;8;0)	(132;1;0)	(131;2;0)
ce123785	5	0	0	0.1285	10396	intron	NA	NA	Bilateria	(133;1;9)	(157;1;0)	(149;1;1)	(148;2;0)	(148;2;0)
ce51651	5	0	0	0.127	12658	promoter	BRD7	Brd7	Bilateria	(294;3;5)	(294;4;1)	(296;3;1)	(298;1;1)	(295;4;1)
ce35633	5	0	0	0.127	16704	promoter	NA	LOC410772	Bilateria	(127;4;0)	(130;1;0)	(130;1;4)	(130;1;10)	(129;2;10)
ce161706	5	0	0	0.1249	15200	intron	Wnk	LOC725503	Bilateria	(155;9;4)	(158;8;1)	(166;4;146)	(165;5;150)	(314;1;0)
ce24090	5	0	0	0.124	14053	intron	ec	LOC411038	Bilateria	(144;1;0)	(143;1;1)	(144;1;0)	(143;2;0)	(144;1;4)
ce115064	5	0	0	0.1229	10968	promoter	sfl	LOC413242	Bilateria	(196;6;0)	(197;4;0)	(199;3;0)	(198;2;1)	(193;1;10)
ce75895	5	0	0	0.1202	11733	intron	cad	cad	Bilateria	(261;4;5)	(282;3;0)	(280;2;20)	(199;1;98)	(283;4;10)
ce30552	5	0	0	0.1201	11059	intron	Ddr	LOC411213	Bilateria	(216;8;15)	(228;9;1)	(225;5;0)	(229;1;71)	(226;4;1)
ce140981	5	0	0	0.1195	10744	intron	FBpp0072286	Dll	Bilateria	(240;3;6)	(238;6;8)	(244;7;4)	(247;2;0)	(248;3;0)
ce123909	5	0	0	0.1152	13361	intron	Ptpmeg2	LOC411227	Bilateria	(143;2;0)	(145;1;0)	(143;2;0)	(144;1;0)	(144;1;0)
ce131941	5	0	0	0.1147	20203	intron	NA	NA	Bilateria	(285;15;193)	(254;4;0)	(250;8;0)	(254;4;0)	(247;9;0)
ce11614	5	0	0	0.1147	13013	intron	fs(1)h	LOC551826	Bilateria	(315;8;3)	(321;2;0)	(292;5;23)	(319;4;2)	(315;4;1)
ce59698	5	0	0	0.1123	15387	intron	Cirl	LOC552142	Bilateria	(533;6;14)	(542;3;2)	(532;9;1)	(539;3;1)	(522;16;16)
ce134643	5	0	0	0.1113	15618	intron	FBpp0290568	LOC724548	Bilateria	(200;6;5)	(215;4;0)	(208;2;9)	(206;4;0)	(215;4;0)
ce144452	5	0	0	0.1098	14139	intron	NA	NA	Protostomia	(146;3;0)	(160;1;0)	(158;3;18)	(158;3;0)	(159;2;1)
ce163996	5	0	0	0.108	16292	intron	gish	LOC410831	Bilateria	(172;5;1)	(175;4;0)	(176;3;1)	(178;2;0)	(176;3;0)
ce114626	5	0	0	0.108	11971	intron	unc-5	LOC410246	Bilateria	(164;10;12)	(177;2;0)	(172;4;3)	(177;2;0)	(177;2;0)
ce13185	5	0	0	0.1066	11093	intron	E23	LOC410967	Bilateria	(272;3;0)	(273;6;8)	(277;1;0)	(277;1;4)	(275;3;0)
ce171612	5	0	0	0.105	13666	intron	NA	LOC100577670	Apocrita	(325;12;13)	(316;8;20)	(327;6;1)	(332;4;0)	(331;1;0)
ce49795	5	0	0	0.1028	12491	intron	Ser	LOC411086	Bilateria	(253;7;4)	(256;6;3)	(252;6;2)	(260;2;1)	(259;1;0)
ce62671	5	0	0	0.1019	12594	intron	Dmel\\CG5068	LOC550901	Bilateria	(168;4;25)	(171;1;1)	(166;4;3)	(170;2;0)	(171;1;1)
ce30915	5	0	0	0.1015	12358	intron	twz	LOC411214	Bilateria	(337;10;60)	(348;1;0)	(343;4;0)	(345;2;0)	(345;2;0)
ce78239	5	0	0	0.0992	14662	intron	Khc	LOC411769	Bilateria	(477;13;50)	(530;3;4)	(316;6;201)	(323;7;3)	(512;6;4)
ce29548	5	0	0	0.0992	11600	intron	NA	LOC411201	Bilateria	(338;6;2)	(341;2;0)	(336;5;2)	(339;2;0)	(330;2;9)
ce46231	5	0	0	0.0991	13193	intron	tara	LOC724450	Neoptera	(246;6;2)	(252;1;0)	(252;1;0)	(251;2;0)	(251;2;2)
ce64800	5	0	0	0.0989	21219	promoter	NA	NA	Neoptera	(166;4;0)	(169;1;0)	(169;1;0)	(169;1;0)	(168;2;0)
ce76884	5	0	0	0.0986	13325	promoter	rudhira	LOC409039	Bilateria	(140;3;2)	(147;3;8)	(148;4;0)	(150;2;0)	(151;1;0)
ce18003	5	0	0	0.0983	10928	intron	cac	Cac	Bilateria	(348;2;8)	(375;4;19)	(385;3;2)	(386;1;8)	(381;4;60)
ce150681	5	0	0	0.0982	11924	intron	CG16995-RA	LOC552244	Bilateria	(217;4;13)	(178;1;0)	(180;2;0)	(181;2;0)	(170;3;10)
ce59736	5	0	0	0.0973	15387	intron	Cirl	LOC552142	Bilateria	(169;4;0)	(170;1;17)	(169;2;0)	(168;3;1)	(169;2;0)
ce8240	5	0	0	0.0967	17906	promoter	NA	LOC727287	Bilateria	(362;6;70)	(355;5;9)	(360;9;3)	(367;2;1)	(372;4;7)
ce63637	5	0	0	0.0966	10232	intron	fas	LOC724195	Bilateria	(181;8;21)	(179;1;9)	(173;8;14)	(195;1;0)	(191;2;0)
ce68155	5	0	0	0.0962	15413	intron	NA	NA	Bilateria	(450;11;11)	(393;10;1)	(397;4;0)	(397;4;0)	(399;2;1)
ce110396	5	0	0	0.0959	18824	promoter	Asator	LOC411575	Bilateria	(188;5;0)	(182;1;11)	(188;2;3)	(187;3;0)	(189;1;0)
ce55252	5	0	0	0.0958	17812	promoter	dgt6	LOC100578205	Bilateria	(126;4;7)	(126;4;0)	(100;4;24)	(126;2;1)	(126;2;5)
ce3201	5	0	0	0.0949	15900	intron	dati	LOC100576251	Bilateria	(202;3;25)	(264;4;38)	(232;1;0)	(231;2;2)	(233;2;2)
ce47405	5	0	0	0.0945	18962	promoter	NA	NA	Bilateria	(376;4;1)	(379;1;0)	(375;6;4)	(394;4;2)	(372;3;7)
ce165624	5	0	0	0.0936	16325	intron	FBpp0310594	LOC408699	Bilateria	(206;7;52)	(219;1;0)	(205;13;3)	(214;4;0)	(216;2;0)
ce112262	5	0	0	0.092	10314	intron	NA	NA	Bilateria	(97;1;87)	(183;4;3)	(187;2;1)	(183;2;5)	(186;4;0)
ce162482	5	0	0	0.0916	16155	intron	NA	LOC725091	Bilateria	(152;4;6)	(165;1;15)	(178;3;0)	(178;3;1)	(179;2;1)
ce81433	5	0	0	0.0913	10998	promoter	FBpp0085394	LOC409095	Bilateria	(250;1;22)	(266;8;9)	(267;6;0)	(272;1;0)	(271;2;0)
ce85634	5	0	0	0.0911	13310	intron	FBpp0088320	LOC725551	Bilateria	(161;4;0)	(167;5;1)	(167;4;0)	(167;2;2)	(169;2;0)
ce141550	5	0	0	0.091	10881	intron	mdy	LOC552377	Bilateria	(275;4;12)	(279;3;1)	(280;2;0)	(280;2;0)	(280;2;1)
ce14550	5	0	0	0.0905	12790	intron	FBpp0290711	osp	Bilateria	(403;8;18)	(396;8;6)	(393;4;0)	(396;3;0)	(395;2;0)
ce105866	5	0	0	0.0901	14806	intron	FBpp0111725	LOC724292	Bilateria	(135;2;1)	(131;4;3)	(134;2;0)	(134;2;0)	(135;1;0)
ce166547	5	0	0	0.089	16272	intron	NA	LOC410852	Bilateria	(196;4;3)	(183;5;0)	(184;4;6)	(178;2;8)	(186;2;0)
ce62088	5	0	0	0.0884	12153	intron	NA	NA	Bilateria	(193;9;115)	(135;4;0)	(138;2;0)	(129;1;10)	(137;3;0)
ce46250	5	0	0	0.0883	13193	intron	tara	LOC724450	Neoptera	(333;14;51)	(374;2;11)	(366;8;11)	(385;3;0)	(391;2;1)
ce93162	5	0	0	0.0869	16954	intron	Vsx2	LOC411315	Bilateria	(176;5;43)	(173;8;6)	(168;4;0)	(174;2;0)	(170;2;0)
ce80663	5	0	0	0.0864	14693	intron	FBpp0086227	LOC413837	Bilateria	(199;3;5)	(207;2;2)	(206;1;6)	(211;2;0)	(208;3;2)
ce161845	5	0	0	0.085	15120	promoter	RhoBTB	RhoBTB	Bilateria	(199;4;1)	(203;5;0)	(201;7;4)	(199;3;6)	(204;4;14)
ce161843	5	0	0	0.0839	15120	intron	RhoBTB	RhoBTB	Bilateria	(146;1;1)	(144;4;0)	(147;2;0)	(146;2;2)	(147;2;104)
ce20044	5	0	0	0.0836	10318	intron	Pp2B-14D	LOC411046	Bilateria	(220;8;16)	(249;1;10)	(225;9;20)	(252;2;0)	(248;6;0)
ce105766	5	0	0	0.0804	14806	intron	FBpp0111725	LOC724292	Bilateria	(268;8;7)	(271;3;3)	(262;8;4)	(272;2;0)	(270;4;0)
ce108867	5	0	0	0.0802	14885	promoter	BcDNA:RH08992	NA	Bilateria	(195;8;3)	(241;4;2)	(235;6;5)	(244;2;0)	(244;1;1)
ce99742	5	0	0	0.0796	14781	intron	Imp	LOC410398	Bilateria	(207;2;0)	(208;1;7)	(207;2;1)	(207;2;0)	(207;2;0)
ce119896	5	0	0	0.0775	10831	intron	Arpc2	Arc-p34	Bilateria	(429;11;0)	(438;2;0)	(393;6;45)	(398;3;41)	(437;1;4)
ce92589	5	0	0	0.0768	18806	promoter	A1ZAY5_DROME	LOC551133	Bilateria	(178;6;4)	(186;4;0)	(190;4;0)	(193;3;0)	(192;2;0)
ce29937	5	0	0	0.0749	11252	intron	NA	LOC411212	Bilateria	(211;7;10)	(227;8;0)	(233;2;0)	(233;2;0)	(233;2;0)
ce4723	5	0	0	0.074	15752	intron	nudE	LOC409894	Bilateria	(248;11;36)	(245;1;70)	(248;5;5)	(256;2;3)	(255;2;2)
ce84961	5	0	0	0.0733	14513	promoter	BcDNA:GH25289	PROH4_APIME	Neoptera	(121;2;0)	(152;1;5)	(135;2;7)	(140;1;0)	(141;2;0)
ce95826	5	0	0	0.0732	11751	intron	AdamTS-A	LOC412091	Bilateria	(189;5;1)	(180;5;0)	(183;2;0)	(184;1;0)	(181;4;0)
ce7145	5	0	0	0.0732	10599	intron	NA	LOC410534	Bilateria	(295;3;30)	(293;7;2)	(298;5;1)	(304;2;0)	(302;2;7)
ce67091	5	0	0	0.0732	12146	intron	gbb	LOC410776	Bilateria	(357;3;0)	(362;4;0)	(355;7;0)	(360;2;0)	(359;3;0)
ce163901	5	0	0	0.0728	12238	intron	NA	LOC408670	Bilateria	(250;4;4)	(257;1;0)	(251;6;0)	(255;2;0)	(255;2;0)
ce13377	5	0	0	0.0712	12824	intron	Cdk12	LOC409965	Bilateria	(731;16;9)	(750;14;1)	(748;18;11)	(763;5;1)	(748;16;5)
ce77688	5	0	0	0.0709	18229	intron	NA	NA	Bilateria	(191;8;12)	(197;4;0)	(197;2;0)	(196;3;0)	(195;4;0)
ce34876	5	0	0	0.0698	17791	intron	MESR6	NA	Bilateria	(245;4;0)	(245;4;0)	(246;3;0)	(247;2;0)	(247;2;0)
ce21498	5	0	0	0.068	10345	intron	Pvf3	NA	Bilateria	(247;8;1)	(250;5;0)	(253;2;0)	(253;2;0)	(251;3;1)
ce159576	5	0	0	0.0675	15105	intron	anon-FF	LOC408528	Bilateria	(241;12;16)	(257;1;0)	(255;3;5)	(256;2;0)	(253;5;0)
ce173688	5	0	0	0.0668	19333	intron	NA	LOC409091	Bilateria	(371;10;2)	(372;9;15)	(375;4;10)	(386;3;0)	(380;1;14)
ce162310	5	0	0	0.0668	19524	promoter	org-1	LOC552311	Bilateria	(238;5;113)	(248;1;6)	(253;2;0)	(253;2;0)	(253;2;0)
ce63771	5	0	0	0.0655	10232	intron	fas	LOC724195	Bilateria	(210;6;0)	(216;3;0)	(216;2;0)	(218;1;0)	(214;4;0)
ce83289	5	0	0	0.0614	10999	intron	NfI	LOC410259	Bilateria	(297;2;0)	(285;4;27)	(289;4;4)	(305;2;24)	(294;3;0)
ce49817	5	0	0	0.0601	12491	intron	Ser	LOC411086	Bilateria	(229;3;10)	(220;7;0)	(210;5;14)	(227;2;0)	(225;4;0)
ce167897	5	0	0	0.0585	12126	intron	NA	NA	Bilateria	(304;5;6)	(313;1;0)	(306;4;0)	(308;2;0)	(309;1;0)
ce27654	5	0	0	0.0574	10226	intron	NA	LOC411050	NA	(283;8;0)	(300;3;0)	(296;6;0)	(297;5;0)	(298;4;0)
ce126527	5	0	0	0.0557	13417	intron	CYHR1_DROME	LOC413103	Bilateria	(604;6;0)	(601;8;16)	(630;10;10)	(655;5;4)	(641;6;3)
ce144314	5	0	0	0.0555	21016	promoter	Phos5567	NA	Bilateria	(204;5;0)	(204;4;3)	(202;8;1)	(209;1;0)	(208;2;0)
ce59667	5	0	0	0.0545	15387	intron	Cirl	LOC552142	Bilateria	(479;10;2)	(502;7;3)	(494;10;2)	(496;9;0)	(477;13;19)
ce149259	5	0	0	0.051	10976	intron	Dmel\\CG4393	LOC408887	Bilateria	(338;2;0)	(249;2;136)	(335;4;1)	(330;2;8)	(338;2;5)
ce50987	5	0	0	0.0507	18286	intron	NA	NA	Bilateria	(352;8;0)	(352;1;0)	(348;3;0)	(349;2;0)	(349;2;0)
ce5449	5	0	0	0.0499	15985	intron	CG12014-RA	LOC100578406	Bilateria	(335;16;2)	(345;4;0)	(353;2;0)	(359;2;0)	(353;2;0)
ce93194	5	0	0	0.0489	16954	intron	Vsx2	LOC411315	Bilateria	(254;9;29)	(258;6;6)	(255;4;0)	(257;2;0)	(257;2;2)
ce54859	5	0	0	0.0489	15531	intron	zyd	LOC411976	Bilateria	(168;2;3)	(164;5;0)	(167;2;0)	(169;1;0)	(167;2;0)
ce121466	5	0	0	0.0473	16518	intron	mib1	LOC550708	Bilateria	(295;2;13)	(289;4;0)	(276;6;16)	(296;2;0)	(294;4;0)
ce66582	5	0	0	0.0467	10590	intron	Nlg2	LOC410779	Bilateria	(363;14;0)	(380;1;2)	(376;3;2)	(377;2;0)	(376;3;0)
ce99548	5	0	0	0.046	14860	intron	CG4049-RA	LOC413753	Bilateria	(319;2;3)	(317;4;4)	(318;4;1)	(322;1;4)	(319;3;1)
ce150142	5	0	0	0.0387	13518	intron	MESK2	LOC413005	Bilateria	(268;2;10)	(269;4;3)	(272;6;0)	(274;4;0)	(267;10;3)
ce167230	5	0	0	0.0372	16248	intron	NA	LOC726051	Bilateria	(210;6;25)	(197;1;0)	(196;2;0)	(197;1;0)	(196;2;2)
ce27232	5	0	0	0.0363	10699	intron	Dad	LOC413371	Bilateria	(226;2;11)	(228;3;0)	(229;2;9)	(229;2;0)	(230;2;0)
ce43015	5	0	0	0.0353	16914	intron	snRNP-U1-70K	snRNP70K	Bilateria	(519;1;1)	(525;6;6)	(533;2;3)	(535;2;2)	(533;3;1)
ce48252	5	0	0	0.0258	19610	intron	pros	NA	Bilateria	(588;12;99)	(572;12;35)	(581;4;0)	(581;4;0)	(583;2;6)
